"party","modeldate","yes_estimate"
"rep",2019-12-17,9.8149299
"ind",2019-12-16,42.802616
"dem",2019-12-16,83.12892
"rep",2019-12-16,8.6175675
"ind",2019-12-15,43.052896
"dem",2019-12-15,84.577664
"rep",2019-12-15,9.9828612
"dem",2019-12-14,84.577664
"ind",2019-12-14,43.052896
"rep",2019-12-14,9.9828612
"dem",2019-12-13,84.66788
"rep",2019-12-13,9.7235905
"ind",2019-12-13,42.837853
"ind",2019-12-12,43.012441
"dem",2019-12-12,84.676392
"rep",2019-12-12,9.4217265
"rep",2019-12-11,9.637871
"ind",2019-12-11,42.554648
"dem",2019-12-11,83.985211
"rep",2019-12-10,7.8620204
"ind",2019-12-10,44.020092
"dem",2019-12-10,83.253035
"ind",2019-12-09,43.717407
"rep",2019-12-09,9.1177506
"dem",2019-12-09,83.162608
"dem",2019-12-08,83.162608
"ind",2019-12-08,43.717407
"rep",2019-12-08,9.1177506
"ind",2019-12-07,43.717407
"rep",2019-12-07,9.1177506
"dem",2019-12-07,83.162608
"dem",2019-12-06,83.024015
"rep",2019-12-06,9.6999114
"ind",2019-12-06,43.815116
"ind",2019-12-05,43.815116
"rep",2019-12-05,9.6999114
"dem",2019-12-05,83.024015
"rep",2019-12-04,9.6999114
"ind",2019-12-04,43.815116
"dem",2019-12-04,83.024015
"rep",2019-12-03,11.387585
"dem",2019-12-03,83.798077
"ind",2019-12-03,44.529841
"rep",2019-12-02,11.387585
"ind",2019-12-02,44.529841
"dem",2019-12-02,83.798077
"rep",2019-12-01,11.387585
"dem",2019-12-01,83.798077
"ind",2019-12-01,44.529841
"rep",2019-11-30,11.387585
"ind",2019-11-30,44.529841
"dem",2019-11-30,83.798077
"dem",2019-11-29,83.798077
"rep",2019-11-29,11.387585
"ind",2019-11-29,44.529841
"dem",2019-11-28,83.798077
"rep",2019-11-28,11.387585
"ind",2019-11-28,44.529841
"dem",2019-11-27,83.727217
"rep",2019-11-27,11.45322
"ind",2019-11-27,44.476492
"dem",2019-11-26,83.652509
"ind",2019-11-26,44.85747
"rep",2019-11-26,11.614713
"dem",2019-11-25,82.372132
"rep",2019-11-25,11.429537
"ind",2019-11-25,42.459537
"ind",2019-11-24,41.220459
"rep",2019-11-24,12.030682
"dem",2019-11-24,80.281798
"dem",2019-11-23,80.312954
"rep",2019-11-23,12.200838
"ind",2019-11-23,40.987034
"dem",2019-11-22,80.312954
"ind",2019-11-22,40.987034
"rep",2019-11-22,12.200838
"ind",2019-11-21,40.987034
"dem",2019-11-21,80.312954
"rep",2019-11-21,12.200838
"rep",2019-11-20,9.9725199
"dem",2019-11-20,82.778975
"ind",2019-11-20,42.736122
"rep",2019-11-19,10.618562
"dem",2019-11-19,82.547528
"ind",2019-11-19,43.555696
"dem",2019-11-18,82.075176
"ind",2019-11-18,43.739185
"rep",2019-11-18,10.951511
"rep",2019-11-17,10.705753
"dem",2019-11-17,81.448518
"ind",2019-11-17,44.477552
"rep",2019-11-16,10.705753
"ind",2019-11-16,44.477552
"dem",2019-11-16,81.448518
"ind",2019-11-15,45.06456
"dem",2019-11-15,81.817737
"rep",2019-11-15,11.066234
"rep",2019-11-14,11.571911
"ind",2019-11-14,45.44438
"dem",2019-11-14,82.647378
"rep",2019-11-13,11.571911
"ind",2019-11-13,45.44438
"dem",2019-11-13,82.647378
"dem",2019-11-12,83.103992
"rep",2019-11-12,12.312496
"ind",2019-11-12,46.390039
"dem",2019-11-11,83.085037
"ind",2019-11-11,45.994225
"rep",2019-11-11,12.173765
"rep",2019-11-10,10.746895
"ind",2019-11-10,44.421135
"dem",2019-11-10,82.629549
"ind",2019-11-09,44.421135
"rep",2019-11-09,10.746895
"dem",2019-11-09,82.629549
"rep",2019-11-08,10.746895
"dem",2019-11-08,82.629549
"ind",2019-11-08,44.421135
"dem",2019-11-07,82.629549
"rep",2019-11-07,10.746895
"ind",2019-11-07,44.421135
"dem",2019-11-06,82.814436
"rep",2019-11-06,11.094168
"ind",2019-11-06,45.550477
"ind",2019-11-05,45.762861
"dem",2019-11-05,84.070798
"rep",2019-11-05,10.954165
"dem",2019-11-04,83.859217
"rep",2019-11-04,10.734958
"ind",2019-11-04,44.989774
"dem",2019-11-03,83.751387
"rep",2019-11-03,10.894407
"ind",2019-11-03,44.617055
"ind",2019-11-02,44.617055
"rep",2019-11-02,10.894407
"dem",2019-11-02,83.751387
"rep",2019-11-01,11.383079
"dem",2019-11-01,83.447534
"ind",2019-11-01,44.979421
"ind",2019-10-31,45.54172
"rep",2019-10-31,10.682101
"dem",2019-10-31,83.550584
"rep",2019-10-30,10.931409
"dem",2019-10-30,83.666715
"ind",2019-10-30,46.140315
"ind",2019-10-29,47.671359
"rep",2019-10-29,11.322727
"dem",2019-10-29,83.498892
"rep",2019-10-28,11.41039
"dem",2019-10-28,83.343124
"ind",2019-10-28,47.463688
"rep",2019-10-27,11.41039
"dem",2019-10-27,83.343124
"ind",2019-10-27,47.463688
"rep",2019-10-26,11.41039
"dem",2019-10-26,83.343124
"ind",2019-10-26,47.463688
"rep",2019-10-25,11.41049
"dem",2019-10-25,83.34305
"ind",2019-10-25,47.46372
"ind",2019-10-24,47.46372
"dem",2019-10-24,83.34305
"rep",2019-10-24,11.41049
"rep",2019-10-23,11.42061
"dem",2019-10-23,83.34793
"ind",2019-10-23,47.46372
"dem",2019-10-22,84.04867
"rep",2019-10-22,11.95231
"ind",2019-10-22,47.50541
"ind",2019-10-21,46.51831
"rep",2019-10-21,11.81818
"dem",2019-10-21,84.94012
"dem",2019-10-20,84.7516
"rep",2019-10-20,12.08355
"ind",2019-10-20,46.39312
"dem",2019-10-19,84.7516
"rep",2019-10-19,12.08355
"ind",2019-10-19,46.39312
"ind",2019-10-18,45.25886
"rep",2019-10-18,12.26701
"dem",2019-10-18,84.57467
"dem",2019-10-17,84.57467
"ind",2019-10-17,45.25886
"rep",2019-10-17,12.26701
"dem",2019-10-16,84.57467
"rep",2019-10-16,12.26701
"ind",2019-10-16,45.25886
"ind",2019-10-15,45.25886
"rep",2019-10-15,12.26701
"dem",2019-10-15,84.57467
"dem",2019-10-14,85.5178
"rep",2019-10-14,12.73443
"ind",2019-10-14,46.68378
"dem",2019-10-13,85.6519
"rep",2019-10-13,12.79718
"ind",2019-10-13,46.78121
"dem",2019-10-12,83.94033
"ind",2019-10-12,44.77037
"rep",2019-10-12,13.32183
"rep",2019-10-11,13.32183
"ind",2019-10-11,44.77037
"dem",2019-10-11,83.94033
"rep",2019-10-10,13.08767
"dem",2019-10-10,83.4771
"ind",2019-10-10,44.00917
