"party","modeldate","yes_estimate"
"dem",2019-04-28,65.21774
"ind",2019-04-28,33.28246
"rep",2019-04-28,9.373521
"ind",2019-04-27,34.59429
"rep",2019-04-27,9.944464
"dem",2019-04-27,64.69214
"rep",2019-04-26,9.944464
"ind",2019-04-26,34.59429
"dem",2019-04-26,64.69214
"ind",2019-04-25,34.59429
"rep",2019-04-25,9.944464
"dem",2019-04-25,64.69214
"rep",2019-04-24,10.05364
"ind",2019-04-24,34.47532
"dem",2019-04-24,65.30791
"dem",2019-04-23,65.30791
"ind",2019-04-23,34.47532
"rep",2019-04-23,10.05364
"dem",2019-04-22,65.30791
"ind",2019-04-22,34.47532
"rep",2019-04-22,10.05364
"rep",2019-04-21,9.987874
"ind",2019-04-21,34.46571
"dem",2019-04-21,65.20064
"dem",2019-04-20,67.27377
"ind",2019-04-20,35.30672
"rep",2019-04-20,11.0632
"rep",2019-04-19,9.712152
"dem",2019-04-19,66.82259
"ind",2019-04-19,35.10417
"ind",2019-04-18,33.67686
"dem",2019-04-18,67.06287
"rep",2019-04-18,9.477621
"ind",2019-04-17,33.67686
"rep",2019-04-17,9.477621
"dem",2019-04-17,67.06287
"dem",2019-04-16,67.06287
"ind",2019-04-16,33.67686
"rep",2019-04-16,9.477621
"dem",2019-04-15,67.06287
"rep",2019-04-15,9.477621
"ind",2019-04-15,33.67686
"rep",2019-04-14,9.477621
"ind",2019-04-14,33.67686
"dem",2019-04-14,67.06287
"ind",2019-04-13,33.67686
"rep",2019-04-13,9.477621
"dem",2019-04-13,67.06287
"ind",2019-04-12,33.67686
"rep",2019-04-12,9.477621
"dem",2019-04-12,67.06287
"dem",2019-04-11,67.06287
"ind",2019-04-11,33.67686
"rep",2019-04-11,9.477621
"ind",2019-04-10,33.67686
"rep",2019-04-10,9.477621
"dem",2019-04-10,67.06287
"rep",2019-04-09,9.477621
"ind",2019-04-09,33.67686
"dem",2019-04-09,67.06287
"rep",2019-04-08,9.477621
"ind",2019-04-08,33.67686
"dem",2019-04-08,67.06287
"rep",2019-04-07,9.477621
"dem",2019-04-07,67.06287
"ind",2019-04-07,33.67686
"dem",2019-04-06,67.06287
"ind",2019-04-06,33.67686
"rep",2019-04-06,9.477621
"dem",2019-04-05,67.07989
"rep",2019-04-05,9.628104
"ind",2019-04-05,33.67686
"ind",2019-04-04,33.67686
"rep",2019-04-04,9.782581
"dem",2019-04-04,67.04274
"dem",2019-04-03,66.73198
"rep",2019-04-03,9.655438
"ind",2019-04-03,33.67686
"rep",2019-04-02,9.51979
"ind",2019-04-02,33.41661
"dem",2019-04-02,66.38535
"ind",2019-04-01,33.09879
"rep",2019-04-01,9.502285
"dem",2019-04-01,66.27958
"ind",2019-03-31,33.02002
"dem",2019-03-31,66.05674
"rep",2019-03-31,9.55017
"rep",2019-03-30,9.447498
"ind",2019-03-30,33.24543
"dem",2019-03-30,65.76398
"dem",2019-03-29,65.68764
"ind",2019-03-29,33.29307
"rep",2019-03-29,9.320068
"rep",2019-03-28,9.402803
"dem",2019-03-28,65.26586
"ind",2019-03-28,33.88266
"rep",2019-03-27,9.375697
"dem",2019-03-27,66.35358
"ind",2019-03-27,33.22035
"ind",2019-03-26,33.36082
"dem",2019-03-26,66.36377
"rep",2019-03-26,9.477504
"dem",2019-03-25,66.4216
"rep",2019-03-25,9.443579
"ind",2019-03-25,33.51656
"rep",2019-03-24,9.016717
"ind",2019-03-24,34.00037
"dem",2019-03-24,66.03361
"ind",2019-03-23,33.64357
"dem",2019-03-23,66.47206
"rep",2019-03-23,9.016346
"rep",2019-03-22,9.147488
"ind",2019-03-22,33.55341
"dem",2019-03-22,66.73876
"rep",2019-03-21,9.081526
"ind",2019-03-21,33.82105
"dem",2019-03-21,67.0002
"rep",2019-03-20,8.99768
"dem",2019-03-20,67.16817
"ind",2019-03-20,33.65797
"dem",2019-03-19,67.68396
"ind",2019-03-19,33.65797
"rep",2019-03-19,9.014825
"rep",2019-03-18,8.908783
"ind",2019-03-18,33.65797
"dem",2019-03-18,67.92533
"rep",2019-03-17,8.705199
"dem",2019-03-17,67.87392
"ind",2019-03-17,33.65797
"ind",2019-03-16,37.34097
"rep",2019-03-16,10.60058
"dem",2019-03-16,73.07673
"dem",2019-03-15,73.1925
"ind",2019-03-15,37.34097
"rep",2019-03-15,10.41089
"dem",2019-03-14,73.83356
"ind",2019-03-14,37.22718
"rep",2019-03-14,10.01402
"rep",2019-03-13,9.984421
"ind",2019-03-13,37.3367
"dem",2019-03-13,73.79555
"dem",2019-03-12,73.97609
"rep",2019-03-12,10.32611
"ind",2019-03-12,37.4513
"ind",2019-03-11,37.6395
"rep",2019-03-11,10.5264
"dem",2019-03-11,74.00761
"rep",2019-03-10,10.50064
"ind",2019-03-10,37.9986
"dem",2019-03-10,73.80525
"ind",2019-03-09,38.2307
"rep",2019-03-09,10.37576
"dem",2019-03-09,73.81719
"ind",2019-03-08,37.91092
"rep",2019-03-08,10.5283
"dem",2019-03-08,74.01384
"rep",2019-03-07,10.82039
"dem",2019-03-07,73.99792
"ind",2019-03-07,38.17455
"rep",2019-03-06,11.27128
"ind",2019-03-06,38.6783
"dem",2019-03-06,74.29472
"rep",2019-03-05,10.99521
"dem",2019-03-05,74.39663
"ind",2019-03-05,38.94392
"rep",2019-03-04,10.84761
"ind",2019-03-04,38.90749
"dem",2019-03-04,74.4459
"dem",2019-03-03,76.7224
"rep",2019-03-03,12.03089
"ind",2019-03-03,41.68032
"ind",2019-03-02,41.68032
"dem",2019-03-02,76.68631
"rep",2019-03-02,12.07512
"rep",2019-03-01,11.84117
"dem",2019-03-01,76.39194
"ind",2019-03-01,41.68032
