"modeldate","party","yes_estimate"
2019-11-20 12:00:00,"rep",10
2019-11-20 12:00:00,"dem",83
2019-11-20 12:00:00,"ind",44
2019-11-22 12:00:00,"rep",10
2019-11-22 12:00:00,"dem",90
2019-11-22 12:00:00,"ind",47
2019-11-23 00:00:00,"rep",15
2019-11-23 00:00:00,"dem",81
2019-11-23 00:00:00,"ind",44
2019-11-23 00:00:00,"rep",13
2019-11-23 00:00:00,"dem",84
2019-11-23 00:00:00,"ind",48
2019-11-23 00:00:00,"rep",13
2019-11-23 00:00:00,"dem",83
2019-11-23 00:00:00,"ind",48
2019-10-31 12:00:00,"rep",14
2019-10-31 12:00:00,"dem",81
2019-11-11 12:00:00,"rep",17
2019-11-11 12:00:00,"dem",81
2019-11-21 12:00:00,"rep",13
2019-11-21 12:00:00,"dem",77
2019-11-23 00:00:00,"rep",4
2019-11-23 00:00:00,"dem",86
2019-11-23 00:00:00,"ind",45
2019-11-23 00:00:00,"rep",12
2019-11-23 00:00:00,"dem",93
2019-11-23 00:00:00,"ind",58
2019-11-25 12:00:00,"rep",13
2019-11-25 12:00:00,"dem",79
2019-11-25 12:00:00,"ind",39
2019-11-25 00:00:00,"rep",10
2019-11-25 00:00:00,"dem",85
2019-11-25 00:00:00,"ind",38
2019-11-25 00:00:00,"rep",11
2019-11-25 00:00:00,"dem",83
2019-11-25 00:00:00,"ind",38
2019-12-02 00:00:00,"rep",7
2019-12-02 00:00:00,"dem",84
2019-12-02 00:00:00,"ind",37
2019-12-02 00:00:00,"rep",9
2019-12-02 00:00:00,"dem",85
2019-12-02 00:00:00,"ind",40
2019-12-02 12:00:00,"rep",8
2019-12-02 12:00:00,"dem",76
2019-12-02 12:00:00,"ind",44
2019-12-02 12:00:00,"rep",8
2019-12-02 12:00:00,"dem",78
2019-12-02 12:00:00,"ind",45
2019-12-05 00:00:00,"rep",7
2019-12-05 00:00:00,"dem",85
2019-12-05 00:00:00,"ind",40
2019-12-05 00:00:00,"rep",6
2019-12-05 00:00:00,"dem",83
2019-12-05 00:00:00,"ind",42
2019-12-06 12:00:00,"rep",3
2019-12-06 12:00:00,"dem",83
2019-12-06 12:00:00,"ind",44
2019-12-07 00:00:00,"rep",15
2019-12-07 00:00:00,"dem",83
2019-12-07 00:00:00,"ind",45
2019-12-07 00:00:00,"rep",12
2019-12-07 00:00:00,"dem",87
2019-12-07 00:00:00,"ind",46
2019-12-07 00:00:00,"rep",12
2019-12-07 00:00:00,"dem",85
2019-12-07 00:00:00,"ind",46
2019-12-08 12:00:00,"rep",9
2019-12-08 12:00:00,"dem",84
2019-12-08 12:00:00,"ind",38
2019-12-08 12:00:00,"rep",11
2019-12-08 12:00:00,"dem",83
2019-12-08 12:00:00,"ind",36
2019-12-06 00:00:00,"rep",11
2019-12-06 00:00:00,"dem",87
2019-12-06 00:00:00,"ind",36
2019-11-26 12:00:00,"rep",16
2019-11-26 12:00:00,"dem",83
2019-11-26 12:00:00,"ind",46
2019-11-26 12:00:00,"rep",11
2019-11-26 12:00:00,"dem",80
2019-11-26 12:00:00,"ind",30
2019-12-09 12:00:00,"rep",12
2019-12-09 12:00:00,"dem",78
2019-12-09 12:00:00,"ind",37
2019-12-09 12:00:00,"rep",13
2019-12-09 12:00:00,"dem",80
2019-12-09 12:00:00,"ind",38
2019-12-09 00:00:00,"rep",7
2019-12-09 00:00:00,"dem",91
2019-12-09 00:00:00,"ind",47
2019-12-05 12:00:00,"rep",14
2019-12-05 12:00:00,"dem",85
2019-12-05 12:00:00,"ind",42
2019-12-10 00:00:00,"rep",5
2019-12-10 00:00:00,"dem",81
2019-12-10 00:00:00,"ind",46
2019-12-10 00:00:00,"rep",4
2019-12-10 00:00:00,"dem",81
2019-12-10 00:00:00,"ind",45
2019-12-09 12:00:00,"rep",11
2019-12-09 12:00:00,"dem",85
2019-12-09 12:00:00,"ind",45
2019-12-12 00:00:00,"rep",9
2019-12-12 00:00:00,"dem",81
2019-12-12 00:00:00,"ind",41
2019-12-13 00:00:00,"rep",5
2019-12-13 00:00:00,"dem",86
2019-12-13 00:00:00,"ind",36
2019-12-12 12:00:00,"rep",12
2019-12-12 12:00:00,"dem",85
2019-12-12 12:00:00,"ind",47
2019-12-13 12:00:00,"rep",5
2019-12-13 12:00:00,"dem",77
2019-12-13 12:00:00,"ind",45
2019-12-09 12:00:00,"rep",11
2019-12-09 12:00:00,"dem",86
2019-12-09 12:00:00,"ind",48
2019-11-28 00:00:00,"rep",10
2019-11-28 00:00:00,"dem",80
2019-11-28 00:00:00,"ind",42
2019-12-05 00:00:00,"rep",7
2019-12-05 00:00:00,"dem",82
2019-12-05 00:00:00,"ind",40
2019-12-11 12:00:00,"rep",9
2019-12-11 12:00:00,"dem",84
2019-12-11 12:00:00,"ind",40
2019-12-16 00:00:00,"rep",17.6
2019-12-16 00:00:00,"dem",71.6
2019-12-16 00:00:00,"ind",42
2019-12-14 12:00:00,"rep",11
2019-12-14 12:00:00,"dem",87
2019-12-14 12:00:00,"ind",46
2019-12-14 12:00:00,"rep",11
2019-12-14 12:00:00,"dem",86
2019-12-14 12:00:00,"ind",46
2019-12-11 12:00:00,"rep",11
2019-12-11 12:00:00,"dem",78
2019-12-11 12:00:00,"ind",46
2019-12-08 12:00:00,"rep",5
2019-12-08 12:00:00,"dem",85
2019-12-08 12:00:00,"ind",48
2019-12-16 12:00:00,"rep",22
2019-12-16 12:00:00,"dem",76
2019-12-16 12:00:00,"rep",7
2019-12-16 12:00:00,"dem",83
2019-12-16 12:00:00,"ind",47
2019-12-16 12:00:00,"rep",7
2019-12-16 12:00:00,"dem",85
2019-12-16 12:00:00,"ind",52
2019-12-15 12:00:00,"rep",8
2019-12-15 12:00:00,"dem",88
2019-12-15 12:00:00,"ind",37
2019-12-15 12:00:00,"rep",11
2019-12-15 12:00:00,"dem",87
2019-12-15 12:00:00,"ind",36
2019-12-15 12:00:00,"rep",8
2019-12-15 12:00:00,"dem",83
2019-12-15 12:00:00,"ind",50
2019-12-13 12:00:00,"dem",76
2019-12-18 12:00:00,"rep",16
2019-12-18 12:00:00,"dem",76
2019-12-18 12:00:00,"ind",32
2019-12-18 12:00:00,"rep",9
2019-12-18 12:00:00,"dem",88
2019-12-18 12:00:00,"ind",38
2019-12-18 12:00:00,"rep",10
2019-12-18 12:00:00,"dem",87
2019-12-18 12:00:00,"ind",37
2019-12-19 12:00:00,"rep",16
2019-12-19 12:00:00,"dem",85
2019-12-19 12:00:00,"ind",48
2019-12-19 12:00:00,"rep",17
2019-12-19 12:00:00,"dem",86
2019-12-19 12:00:00,"ind",47
2019-12-21 00:00:00,"rep",9
2019-12-21 00:00:00,"dem",87
2019-12-21 00:00:00,"ind",39
2019-12-21 00:00:00,"rep",13
2019-12-21 00:00:00,"dem",87
2019-12-21 00:00:00,"ind",41
2019-12-23 00:00:00,"rep",10
2019-12-23 00:00:00,"dem",82
2019-12-23 00:00:00,"ind",43
2019-12-23 00:00:00,"rep",7
2019-12-23 00:00:00,"dem",76
2019-12-23 00:00:00,"ind",40
2019-12-29 12:00:00,"rep",13
2019-12-29 12:00:00,"dem",84
2019-12-29 12:00:00,"ind",38
2019-12-29 12:00:00,"rep",11
2019-12-29 12:00:00,"dem",83
2019-12-29 12:00:00,"ind",34
2019-12-28 00:00:00,"rep",25
2019-12-28 00:00:00,"dem",87
2019-12-28 00:00:00,"ind",52
2020-01-04 12:00:00,"rep",15
2020-01-04 12:00:00,"dem",84
2020-01-04 12:00:00,"ind",50
2020-01-04 12:00:00,"rep",13
2020-01-04 12:00:00,"dem",84
2020-01-04 12:00:00,"ind",47
2020-01-06 00:00:00,"rep",12
2020-01-06 00:00:00,"dem",83
2020-01-06 00:00:00,"ind",42
2020-01-06 00:00:00,"rep",7
2020-01-06 00:00:00,"dem",81
2020-01-06 00:00:00,"ind",39
2020-01-09 00:00:00,"rep",8
2020-01-09 00:00:00,"dem",81
2020-01-09 00:00:00,"ind",34
2020-01-10 00:00:00,"rep",7
2020-01-10 00:00:00,"dem",91
2020-01-10 00:00:00,"ind",56
2020-01-10 00:00:00,"rep",5
2020-01-10 00:00:00,"dem",87
2020-01-10 00:00:00,"ind",48
2020-01-07 00:00:00,"ind",44
2020-01-09 12:00:00,"rep",7
2020-01-09 12:00:00,"dem",85
2020-01-09 12:00:00,"ind",45
2020-01-11 00:00:00,"rep",15
2020-01-11 00:00:00,"dem",85
2020-01-11 00:00:00,"ind",46
2020-01-11 00:00:00,"rep",13
2020-01-11 00:00:00,"dem",85
2020-01-11 00:00:00,"ind",47
2020-01-12 12:00:00,"rep",10
2020-01-12 12:00:00,"dem",85
2020-01-12 12:00:00,"ind",35
2020-01-12 12:00:00,"rep",8
2020-01-12 12:00:00,"dem",82
2020-01-12 12:00:00,"ind",32
2020-01-12 12:00:00,"rep",7
2020-01-12 12:00:00,"dem",87
2020-01-12 12:00:00,"ind",45
2020-01-08 12:00:00,"rep",7
2020-01-08 12:00:00,"dem",84
2020-01-08 12:00:00,"ind",49
2020-01-17 12:00:00,"rep",8
2020-01-17 12:00:00,"dem",89
2020-01-17 12:00:00,"ind",48
2020-01-15 00:00:00,"rep",8
2020-01-15 00:00:00,"dem",82
2020-01-15 00:00:00,"ind",40
2020-01-18 00:00:00,"rep",7
2020-01-18 00:00:00,"dem",90
2020-01-18 00:00:00,"ind",43
2020-01-18 00:00:00,"rep",8
2020-01-18 00:00:00,"dem",94
2020-01-18 00:00:00,"ind",51
2020-01-16 00:00:00,"rep",8
2020-01-16 00:00:00,"dem",81
2020-01-16 00:00:00,"ind",40
2020-01-18 00:00:00,"rep",11
2020-01-18 00:00:00,"dem",82
2020-01-18 00:00:00,"ind",43
2020-01-18 00:00:00,"rep",10
2020-01-18 00:00:00,"dem",84
2020-01-18 00:00:00,"ind",43
2020-01-20 00:00:00,"rep",10
2020-01-20 00:00:00,"dem",83
2020-01-20 00:00:00,"ind",37
2020-01-20 00:00:00,"rep",7
2020-01-20 00:00:00,"dem",82
2020-01-20 00:00:00,"ind",34
2020-01-12 12:00:00,"rep",12
2020-01-12 12:00:00,"dem",85
2020-01-18 12:00:00,"rep",9
2020-01-18 12:00:00,"dem",79
2020-01-18 12:00:00,"ind",34
2020-01-18 12:00:00,"rep",18.1
2020-01-18 12:00:00,"dem",85.9
2020-01-22 00:00:00,"rep",21.6
2020-01-22 00:00:00,"dem",82.6
2020-01-22 00:00:00,"ind",46.6
2020-01-21 12:00:00,"rep",16
2020-01-21 12:00:00,"dem",92
2020-01-21 12:00:00,"ind",47
2020-01-21 12:00:00,"rep",9
2020-01-21 12:00:00,"dem",83
2020-01-21 12:00:00,"ind",42
2020-01-20 12:00:00,"rep",12
2020-01-20 12:00:00,"dem",81
2020-01-20 12:00:00,"ind",53
2020-01-21 12:00:00,"rep",10
2020-01-21 12:00:00,"dem",77
2020-01-21 12:00:00,"ind",38
2020-01-19 00:00:00,"rep",15
2020-01-19 00:00:00,"dem",86
2020-01-19 00:00:00,"ind",41
2020-01-19 00:00:00,"rep",14
2020-01-19 00:00:00,"dem",85
2020-01-19 00:00:00,"ind",41
2020-01-24 12:00:00,"rep",2
2020-01-24 12:00:00,"dem",92
2020-01-24 12:00:00,"ind",44
2020-01-25 00:00:00,"rep",15
2020-01-25 00:00:00,"dem",80
2020-01-25 00:00:00,"ind",44
2020-01-25 00:00:00,"rep",12
2020-01-25 00:00:00,"dem",84
2020-01-25 00:00:00,"ind",45
2020-01-27 00:00:00,"rep",13
2020-01-27 00:00:00,"dem",83
2020-01-27 00:00:00,"ind",39
2020-01-27 00:00:00,"rep",6
2020-01-27 00:00:00,"dem",82
2020-01-27 00:00:00,"ind",37
2020-01-26 12:00:00,"ind",46
2020-01-29 12:00:00,"rep",15
2020-01-29 12:00:00,"dem",84
2020-01-29 12:00:00,"ind",45
2020-01-29 12:00:00,"rep",13
2020-01-29 12:00:00,"dem",84
2020-01-29 12:00:00,"ind",45
2020-01-27 12:00:00,"dem",84
2020-01-27 12:00:00,"ind",45
2020-01-22 12:00:00,"rep",4
2020-01-22 12:00:00,"dem",92
2020-01-22 12:00:00,"ind",48
2020-02-03 00:00:00,"rep",11
2020-02-03 00:00:00,"dem",78
2020-02-03 00:00:00,"ind",35
2020-02-03 00:00:00,"rep",7
2020-02-03 00:00:00,"dem",81
2020-02-03 00:00:00,"ind",34
2020-01-23 00:00:00,"rep",8
2020-01-23 00:00:00,"dem",79
2020-01-23 00:00:00,"ind",37
2020-01-30 00:00:00,"rep",7
2020-01-30 00:00:00,"dem",84
2020-01-30 00:00:00,"ind",39
2020-02-01 00:00:00,"rep",10
2020-02-01 00:00:00,"dem",82
2020-02-01 00:00:00,"ind",35
2020-02-07 12:00:00,"rep",7
2020-02-07 12:00:00,"dem",90
2020-02-07 12:00:00,"ind",51
2020-02-10 00:00:00,"rep",18
2020-02-10 00:00:00,"dem",81
2020-02-10 00:00:00,"ind",37
2020-02-10 00:00:00,"rep",9
2020-02-10 00:00:00,"dem",84
2020-02-10 00:00:00,"ind",37
